Time,Potentiometer,Voltage
195417,409,483
195617,409,483
195819,409,483
196020,409,483
196220,409,483
196421,409,483
196622,409,482
196823,409,483
197023,409,482
197225,409,483
197426,410,483
197626,409,483
197827,409,483
198028,391,484
198228,342,483
198430,277,483
198631,219,483
198832,178,483
199032,143,483
199233,99,483
199434,61,483
199634,35,482
199836,11,482
200037,3,482
200238,3,482
200438,0,482
200639,0,482
200840,0,482
201040,0,482
201241,0,482
201442,0,482
201643,0,482
201843,0,482
202044,0,482
202245,0,482
202445,0,482
202647,0,482
202848,0,481
203048,0,481
203249,0,481
203450,0,481
203651,0,482
203851,0,481
204052,0,480
204253,0,480
204453,0,480
204654,0,479
204855,0,480
205056,0,479
205256,0,479
205458,0,479
205659,0,480
205859,0,479
206060,0,479
206261,0,479
206461,0,479
206662,0,478
206863,0,479
207064,0,478
207264,0,478
207465,0,478
207666,0,478
207866,0,477
208067,0,477
208268,0,477
208470,0,477
208670,0,477
208871,0,477
209072,0,477
209272,0,476
209473,0,477
209674,0,477
209874,0,477
210075,0,476
210276,0,476
210477,0,476
210677,0,476
210878,0,476
211079,0,476
211280,0,476
211481,0,476
211682,0,476
211883,0,475
212083,0,475
212284,0,475
212485,0,476
212685,0,475
212886,0,475
213087,0,474
213287,0,474
213488,0,474
213689,0,474
213890,0,474
214090,0,474
214292,0,474
214493,0,474
214693,0,474
214894,0,474
215095,0,474
215296,0,473
215496,0,473
215697,0,473
215898,0,473
216098,0,472
216299,0,473
216500,0,473
216700,0,473
216901,0,472
217102,0,472
217304,0,472
217504,0,472
217705,0,472
217906,0,472
218106,0,472
218307,0,472
218508,0,472
218708,0,472
218909,0,472
219110,0,472
219311,0,472
219511,0,472
219712,0,472
219913,0,472
220114,0,472
220315,0,472
220516,0,472
220717,0,472
220917,0,472
221118,0,472
221319,0,472
221519,0,472
221720,0,472
221921,0,472
222121,0,472
222322,0,472
222523,0,471
222724,0,471
222925,0,471
223126,0,471
223327,0,471
223527,0,471
223728,0,471
223929,0,471
224130,0,471
224330,0,471
224531,0,471
224732,0,471
224932,0,471
225133,0,471
225334,0,471
225534,0,471
225735,0,471
225937,0,471
226138,0,471
226338,0,471
226539,0,471
226740,0,471
226940,0,471
